Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV),Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Beverage_size,Beverage_category_Coffee,Beverage_category_Espresso Drink,Beverage_category_Frappuccino,Beverage_category_Shaken Iced Beverages,Beverage_category_Smoothies,Beverage_category_Tazo® Tea Drinks,Milk_type_No Milk,Milk_type_Nonfat Milk
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,210,0.2,0.1,0.0,5,105,45,0,43,8.0,15%,0%,25%,2%,95,2,False,False,False,False,False,True,False,True
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Venti,Nonfat Milk,260,0.3,0.2,0.0,5,135,57,0,54,10.0,15%,0%,35%,2%,120,3,False,False,False,False,False,True,False,True
Tazo® Green Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,130,0.2,0.1,0.0,5,85,26,0,25,7.0,10%,4%,20%,2%,25,0,False,False,False,False,False,True,False,True
Tazo® Green Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,210,0.4,0.2,0.0,5,125,42,1,41,11.0,20%,10%,35%,4%,55,1,False,False,False,False,False,True,False,True
Tazo® Green Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,290,0.5,0.2,0.0,10,160,57,1,56,14.0,25%,15%,45%,4%,80,2,False,False,False,False,False,True,False,True
Tazo® Green Tea Latte,Tazo® Tea Drinks,Venti,Nonfat Milk,370,0.5,0.3,0.0,10,200,73,2,71,18.0,30%,20%,60%,6%,110,3,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6%,0%,10%,0.00%,varies,0,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10%,0%,20%,0.00%,varies,1,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15%,0%,25%,0.00%,varies,2,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Venti,Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15%,0%,30%,0.00%,varies,3,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Short,Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6%,0%,10%,0%,0,0,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Tall,Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10%,0%,20%,0%,0,1,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Grande,Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15%,0%,25%,0%,0,2,False,False,False,False,False,True,False,True
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Venti,Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15%,0%,30%,0%,0,3,False,False,False,False,False,True,False,True
Iced Brewed Coffee (With Classic Syrup),Shaken Iced Beverages,Tall,No Milk,60,0.0,0.0,0.0,0,4,15,0,15,0.2,0%,0%,0%,0%,120,1,False,False,False,True,False,False,True,False
Iced Brewed Coffee (With Classic Syrup),Shaken Iced Beverages,Grande,No Milk,90,0.1,0.0,0.0,0,5,21,0,21,0.3,0%,0%,0%,0%,165,2,False,False,False,True,False,False,True,False
Iced Brewed Coffee (With Classic Syrup),Shaken Iced Beverages,Venti,No Milk,130,0.1,0.0,0.0,0,5,31,0,31,0.4,0%,0%,0%,0%,235,3,False,False,False,True,False,False,True,False
Iced Brewed Coffee (With Milk & Classic Syrup),Shaken Iced Beverages,Tall,Nonfat Milk,80,0.1,0.0,0.0,0,25,18,0,18,2.0,2%,0%,6%,0%,90,1,False,False,False,True,False,False,False,True
Iced Brewed Coffee (With Milk & Classic Syrup),Shaken Iced Beverages,Grande,Nonfat Milk,110,0.1,0.0,0.0,0,30,24,0,24,2.0,4%,0%,8%,2%,90,2,False,False,False,True,False,False,False,True
Iced Brewed Coffee (With Milk & Classic Syrup),Shaken Iced Beverages,Venti,Nonfat Milk,160,0.1,0.1,0.0,0,50,36,0,36,4.0,6%,0%,10%,4%,125,3,False,False,False,True,False,False,False,True
Shaken Iced Tazo® Tea (With Classic Syrup),Shaken Iced Beverages,Tall,No Milk,60,0.0,0.0,0.0,0,0,15,0,15,0.0,0%,0%,0%,6%,170,1,False,False,False,True,False,False,True,False
Shaken Iced Tazo® Tea (With Classic Syrup),Shaken Iced Beverages,Grande,No Milk,80,0.0,0.0,0.0,0,0,21,0,21,0.0,0%,0%,0%,0%,Varies,2,False,False,False,True,False,False,True,False
Shaken Iced Tazo® Tea (With Classic Syrup),Shaken Iced Beverages,Venti,No Milk,120,0.0,0.0,0.0,0,0,31,0,31,0.0,0%,0%,0%,0%,Varies,3,False,False,False,True,False,False,True,False
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Shaken Iced Beverages,Tall,No Milk,100,0.0,0.0,0.0,0,0,25,0,24,0.1,0%,10%,0%,0%,Varies,1,False,False,False,True,False,False,True,False
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Shaken Iced Beverages,Grande,No Milk,130,0.0,0.0,0.0,0,0,33,0,33,0.1,0%,15%,0%,0%,Varies,2,False,False,False,True,False,False,True,False
